0,[0.5058062  0.52986175 0.49146178 0.49796554 0.50387377]
1,ランダムで動きました
0,ランダムで動きました
1,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
1,[0.62827855 0.906676   0.45024392 0.770072   0.68176943]
1,ランダムで動きました
2,ランダムで動きました
2,ランダムで動きました
2,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
4,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
4,ランダムで動きました
4,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
5,ランダムで動きました
5,ランダムで動きました
5,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
6,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
6,ランダムで動きました
6,ランダムで動きました
8,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
8,ランダムで動きました
8,ランダムで動きました
11,ランダムで動きました
11,[0.5880725  0.92794335 0.5628505  0.8951752  0.551863  ]
11,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
12,ランダムで動きました
12,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
13,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
13,ランダムで動きました
13,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
15,ランダムで動きました
15,ランダムで動きました
15,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
17,ランダムで動きました
17,ランダムで動きました
19,ランダムで動きました
19,[0.55222744 0.8977063  0.85898596 0.74938244 0.34646896]
19,[0.49891338 0.5202797  0.5119348  0.5059293  0.516821  ]
20,[0.5021779  0.542199   0.50803614 0.5180738  0.51810116]
20,ランダムで動きました
20,[0.49782687 0.54049283 0.523856   0.511857   0.5336041 ]
21,ランダムで動きました
21,ランダムで動きました
23,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
23,[0.5648873  0.9454912  0.78070956 0.8099547  0.3927517 ]
23,ランダムで動きました
24,[0.50426185 0.5509636  0.5228669  0.5183022  0.53192616]
24,ランダムで動きました
24,ランダムで動きました
25,ランダムで動きました
25,ランダムで動きました
25,ランダムで動きました
